DATE,RCCCBACTDPD30P
2012-07-01,1.44
2012-10-01,1.47
2013-01-01,1.29
2013-04-01,1.27
2013-07-01,1.26
2013-10-01,1.29
2014-01-01,1.1
2014-04-01,1.07
2014-07-01,1.21
2014-10-01,1.27
2015-01-01,1.13
2015-04-01,1.15
2015-07-01,1.35
2015-10-01,1.42
2016-01-01,1.22
2016-04-01,1.25
2016-07-01,1.44
2016-10-01,1.55
2017-01-01,1.38
2017-04-01,1.37
2017-07-01,1.52
2017-10-01,1.57
2018-01-01,1.37
2018-04-01,1.31
2018-07-01,1.47
2018-10-01,1.65
2019-01-01,1.4
2019-04-01,1.34
2019-07-01,1.49
2019-10-01,1.64
2020-01-01,1.47
2020-04-01,1.07
2020-07-01,0.92
2020-10-01,1.04
2021-01-01,0.85
2021-04-01,0.72
2021-07-01,0.85
2021-10-01,1.02
2022-01-01,1.05
2022-04-01,1.09
2022-07-01,1.36
2022-10-01,1.55
2023-01-01,1.47
2023-04-01,1.51
2023-07-01,1.74
2023-10-01,1.9
2024-01-01,1.79
