DATE,RCMFLOORIG
2012-07-01,181.23
2012-10-01,177.63
2013-01-01,185.24
2013-04-01,179.75
2013-07-01,154.45
2013-10-01,94.42
2014-01-01,75.93
2014-04-01,84.17
2014-07-01,94.86
2014-10-01,95.93
2015-01-01,106.39
2015-04-01,134.64
2015-07-01,120.28
2015-10-01,109.61
2016-01-01,100.23
2016-04-01,137.08
2016-07-01,145.24
2016-10-01,153.37
2017-01-01,98.02
2017-04-01,112.75
2017-07-01,124.1
2017-10-01,117.69
2018-01-01,93.87
2018-04-01,112.79
2018-07-01,108.8
2018-10-01,88.8
2019-01-01,82.33
2019-04-01,133.0
2019-07-01,144.42
2019-10-01,169.08
2020-01-01,132.46
2020-04-01,156.86
2020-07-01,179.47
2020-10-01,175.93
2021-01-01,197.66
2021-04-01,214.49
2021-07-01,218.52
2021-10-01,217.55
2022-01-01,152.49
2022-04-01,149.78
2022-07-01,107.8
2022-10-01,72.07
2023-01-01,45.88
2023-04-01,61.68
2023-07-01,58.82
2023-10-01,45.23
2024-01-01,44.43
